Supercharger;StreetAddress;City;State;Zip;Country;Stalls;kW;GPS;Elevm;Status
Porto Centro; Rua do Ouro; Porto; Norte; 3312; Portugal; 4; 120; 41.14, 34.02; 450; Open
Lisboa Centro; Rua da Igreja; Lisboa; Sul; 4412; Portugal; 7; 150; 38.72, 9.14; 1050; Open
Faro Centro; Rua do Ouro; Faro; Sul; 5461; Portugal; 3; 140; 22.03, -2.32; 620; Open
Porto Ocidental; Rua da Barraca; Porto; Norte; 3212; Portugal; 6; 150; 42.32, 32.03; 950; Open
Madrid Center; Calle de la Iglesia; Madrid; Madrid; 28001; Spain; 8; 150; 12.32, -3.70; 650; Open
London Center; 1-3 Strand; London; London; WC2N 5JR; United Kingdom; 10; 150; 51.51, -0.12; 20; Open
Paris Center; 1-3 Rue de Rivoli; Paris; Paris; 75001; France; 12; 150; 48.86, 2.34; 35; Open
Berlin Center; 1-3 Unter den Linden; Berlin; Berlin; 10117; Germany; 14; 150; 52.52, 13.40; 35; Open
Rome Center; 1-3 Via del Corso; Rome; Rome; 00186; Italy; 16; 150; 41.90, 12.48; 35; Open
Amsterdam Center; 1-3 Dam Square; Amsterdam; Amsterdam; 1012; Netherlands; 18; 150; 52.37, 4.89; 35; Open
Brussels Center; 1-3 Grand Place; Brussels; Brussels; 1000; Belgium; 20; 150; 50.85, 4.35; 35; Open
